transaction_id,date,branch_id,branch_name,kota,provinsi,rating_cabang,product_id,product_name,actual_price,discount_percentage,persentase_gross_laba,nett_sales,nett_profit,rating_transaksi
TRX9849272,04/04/2022,94975,Kimia Farma - Klinik-Apotek-Laboratorium,Kuningan,Jawa Barat,"4,2",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,07","0,2",234081,"46816,2",3
TRX8756950,27/10/2020,16185,Kimia Farma - Klinik & Apotek,Mataram,Nusa Tenggara Barat,"4,3",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,04","0,2",241632,"48326,4",3
TRX9681018,07/11/2022,14495,Kimia Farma - Apotek,Banjarmasin,Kalimantan Selatan,"4,8",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,01","0,2",249183,"49836,6",3
TRX6394468,08/07/2021,19393,Kimia Farma - Klinik & Apotek,Magelang,Jawa Tengah,4,KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,01","0,2",249183,"49836,6",3
TRX4295475,04/04/2022,28703,Kimia Farma - Klinik & Apotek,Tanjungpinang,Kepulauan Riau,"4,2",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,09","0,2",229047,"45809,4",3
TRX9707876,13/10/2023,66935,Kimia Farma - Klinik & Apotek,Madiun,Jawa Timur,"4,3",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,07","0,2",234081,"46816,2",3
TRX9873499,11/02/2022,62312,Kimia Farma - Apotek,Cianjur,Jawa Barat,"4,5",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,13","0,2",218979,"43795,8",3
TRX1805291,18/07/2022,33104,Kimia Farma - Klinik & Apotek,Balikpapan,Kalimantan Timur,"3,9",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,1","0,2",226530,45306,3
TRX4632927,22/03/2022,29294,Kimia Farma - Klinik-Apotek-Laboratorium,Ternate,Maluku Utara,"4,1",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,12","0,2",221496,"44299,2",3
TRX2525529,27/02/2023,45521,Kimia Farma - Klinik & Apotek,Pekanbaru,Riau,"4,8",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,01","0,2",249183,"49836,6",3
TRX8385029,24/04/2021,84760,Kimia Farma - Klinik-Apotek-Laboratorium,Tarakan,Kalimantan Utara,"4,2",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,1","0,2",226530,45306,3
TRX3595943,12/08/2021,66961,Kimia Farma - Klinik & Apotek,Cirebon,Jawa Barat,"4,7",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,15","0,2",213945,42789,3
TRX4499981,15/04/2022,24277,Kimia Farma - Apotek,Lhokseumawe,Aceh,"4,2",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,15","0,2",213945,42789,3
TRX7074067,11/12/2020,43992,Kimia Farma - Klinik-Apotek-Laboratorium,Bekasi,Jawa Barat,"4,1",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,1","0,2",226530,45306,3
TRX7068406,22/10/2020,52192,Kimia Farma - Apotek,Karawang,Jawa Barat,"4,2",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,14","0,2",216462,"43292,4",3
TRX8802591,23/04/2020,51033,Kimia Farma - Klinik-Apotek-Laboratorium,Pematangsiantar,Sumatera Utara,5,KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,04","0,2",241632,"48326,4",3
TRX8300772,15/04/2021,78794,Kimia Farma - Klinik-Apotek-Laboratorium,Bontang,Kalimantan Timur,"4,3",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,03","0,2",244149,"48829,8",3
TRX3879480,21/08/2023,61185,Kimia Farma - Apotek,Sibolga,Sumatera Utara,"4,4",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,09","0,2",229047,"45809,4",3
TRX4476182,01/09/2022,98748,Kimia Farma - Klinik-Apotek-Laboratorium,Bitung,Sulawesi Utara,"4,9",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,12","0,2",221496,"44299,2",3
TRX8104766,02/11/2021,13883,Kimia Farma - Apotek,Pariaman,Sumatera Barat,"4,7",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,07","0,2",234081,"46816,2",3
TRX7694649,18/11/2020,69273,Kimia Farma - Klinik & Apotek,Magelang,Jawa Tengah,"4,8",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,11","0,2",224013,"44802,6",3
TRX2225655,02/03/2023,41701,Kimia Farma - Apotek,Pekanbaru,Riau,"4,4",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,08","0,2",231564,"46312,8",3
TRX9018875,30/09/2021,26671,Kimia Farma - Apotek,Pangkalpinang,Bangka Belitung,"4,1",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,09","0,2",229047,"45809,4",3
TRX9493388,20/02/2023,31737,Kimia Farma - Apotek,Mataram,Nusa Tenggara Barat,"4,2",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,04","0,2",241632,"48326,4",3
TRX5755039,31/07/2022,12707,Kimia Farma - Klinik & Apotek,Palu,Sulawesi Tengah,"4,5",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,05","0,2",239115,47823,3
TRX6268119,22/05/2023,91361,Kimia Farma - Klinik & Apotek,Pematangsiantar,Sumatera Utara,"4,6",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,09","0,2",229047,"45809,4",3
TRX5171418,17/04/2020,60964,Kimia Farma - Apotek,Pariaman,Sumatera Barat,"4,3",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,15","0,2",213945,42789,3
TRX9765032,04/07/2020,85753,Kimia Farma - Klinik-Apotek-Laboratorium,Sukabumi,Jawa Barat,"4,4",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,06","0,2",236598,"47319,6",3
TRX2402291,02/01/2022,32224,Kimia Farma - Klinik-Apotek-Laboratorium,Bandung,Jawa Barat,4,KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,09","0,2",229047,"45809,4",3
TRX7724468,10/03/2023,70985,Kimia Farma - Apotek,Manado,Sulawesi Utara,"4,3",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,05","0,2",239115,47823,3
TRX5672738,13/10/2023,85716,Kimia Farma - Apotek,Malang,Jawa Timur,5,KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,07","0,2",234081,"46816,2",3
TRX4038081,13/06/2020,17602,Kimia Farma - Klinik-Apotek-Laboratorium,Payakumbuh,Sumatera Barat,"4,5",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,03","0,2",244149,"48829,8",3
TRX8869596,05/12/2022,13307,Kimia Farma - Apotek,Jambi,Jambi,"4,7",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,12","0,2",221496,"44299,2",3
TRX4334717,26/04/2020,94558,Kimia Farma - Klinik & Apotek,Mataram,Nusa Tenggara Barat,"4,9",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,11","0,2",224013,"44802,6",3
TRX2478695,06/08/2022,90221,Kimia Farma - Klinik-Apotek-Laboratorium,Palembang,Sumatera Selatan,"4,6",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,14","0,2",216462,"43292,4",3
TRX3480704,19/12/2022,68894,Kimia Farma - Apotek,Madiun,Jawa Timur,"4,2",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,05","0,2",239115,47823,3
TRX5936076,01/08/2023,92922,Kimia Farma - Klinik & Apotek,Cilacap,Jawa Tengah,"4,1",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,14","0,2",216462,"43292,4",3
TRX6060244,21/06/2020,93401,Kimia Farma - Apotek,Ambon,Maluku,"4,5",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,04","0,2",241632,"48326,4",3
TRX5874229,28/06/2023,92475,Kimia Farma - Klinik-Apotek-Laboratorium,Yogyakarta,DI Yogyakarta,4,KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,12","0,2",221496,"44299,2",3
TRX8226393,05/03/2023,39160,Kimia Farma - Apotek,Garut,Jawa Barat,"4,5",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,1","0,2",226530,45306,3
TRX2150624,26/08/2020,16013,Kimia Farma - Klinik & Apotek,Pekanbaru,Riau,"4,2",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,01","0,2",249183,"49836,6",3
TRX7553024,09/11/2020,21680,Kimia Farma - Klinik & Apotek,Ternate,Maluku Utara,"4,4",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,09","0,2",229047,"45809,4",3
TRX3926453,15/02/2022,34393,Kimia Farma - Klinik & Apotek,Ciamis,Jawa Barat,"4,7",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,01","0,2",249183,"49836,6",3
TRX1793777,23/02/2021,14845,Kimia Farma - Klinik-Apotek-Laboratorium,Mataram,Nusa Tenggara Barat,"4,8",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,1","0,2",226530,45306,3
TRX6253266,26/01/2023,21754,Kimia Farma - Klinik-Apotek-Laboratorium,Pontianak,Kalimantan Barat,5,KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,06","0,2",236598,"47319,6",3
TRX3427025,21/08/2022,51314,Kimia Farma - Klinik-Apotek-Laboratorium,Cikampek,Jawa Barat,"4,7",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,09","0,2",229047,"45809,4",3
TRX5236759,07/07/2023,17254,Kimia Farma - Klinik-Apotek-Laboratorium,Garut,Jawa Barat,"4,5",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,13","0,2",218979,"43795,8",3
TRX6143612,10/05/2020,91100,Kimia Farma - Klinik-Apotek-Laboratorium,Subang,Jawa Barat,"4,5",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,05","0,2",239115,47823,3
TRX5204208,17/01/2022,53167,Kimia Farma - Klinik-Apotek-Laboratorium,Ambon,Maluku,"4,3",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,08","0,2",231564,"46312,8",3
TRX7736375,14/07/2022,53629,Kimia Farma - Klinik-Apotek-Laboratorium,Kotamobagu,Sulawesi Utara,"4,2",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,13","0,2",218979,"43795,8",3
TRX8714012,16/03/2021,13782,Kimia Farma - Klinik-Apotek-Laboratorium,Karawang,Jawa Barat,4,KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,11","0,2",224013,"44802,6",3
TRX8181261,05/04/2022,83839,Kimia Farma - Apotek,Langsa,Aceh,"4,9",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,02","0,2",246666,"49333,2",3
TRX8835408,01/07/2021,78874,Kimia Farma - Klinik & Apotek,Tomohon,Sulawesi Utara,"4,3",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,06","0,2",236598,"47319,6",3
TRX1213206,21/12/2022,98443,Kimia Farma - Apotek,Banda Aceh,Aceh,"4,5",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,01","0,2",249183,"49836,6",3
TRX6186466,25/04/2023,57142,Kimia Farma - Klinik & Apotek,Purwakarta,Jawa Barat,"4,8",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,12","0,2",221496,"44299,2",3
TRX6815036,08/08/2022,90608,Kimia Farma - Klinik & Apotek,Pematangsiantar,Sumatera Utara,"4,2",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,12","0,2",221496,"44299,2",3
TRX9366634,13/12/2022,68853,Kimia Farma - Apotek,Subang,Jawa Barat,"4,5",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,06","0,2",236598,"47319,6",3
TRX2394957,17/01/2020,39160,Kimia Farma - Apotek,Garut,Jawa Barat,"4,5",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,12","0,2",221496,"44299,2",3
TRX9321614,17/09/2023,62707,Kimia Farma - Apotek,Mataram,Nusa Tenggara Barat,5,KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,11","0,2",224013,"44802,6",3
TRX9754071,09/06/2022,16013,Kimia Farma - Klinik & Apotek,Pekanbaru,Riau,"4,2",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,05","0,2",239115,47823,3
TRX6648577,31/08/2023,29294,Kimia Farma - Klinik-Apotek-Laboratorium,Ternate,Maluku Utara,"4,1",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,13","0,2",218979,"43795,8",3
TRX9691767,13/05/2020,24223,Kimia Farma - Klinik & Apotek,Makassar,Sulawesi Selatan,"4,7",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,15","0,2",213945,42789,3
TRX4027238,12/03/2023,64359,Kimia Farma - Klinik & Apotek,Sukabumi,Jawa Barat,"4,1",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,02","0,2",246666,"49333,2",3
TRX3167285,26/07/2022,89035,Kimia Farma - Klinik-Apotek-Laboratorium,Cianjur,Jawa Barat,"4,6",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,15","0,2",213945,42789,3
TRX5971792,05/04/2020,56376,Kimia Farma - Klinik-Apotek-Laboratorium,Pekanbaru,Riau,"4,2",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,04","0,2",241632,"48326,4",3
TRX3462587,02/02/2022,34888,Kimia Farma - Klinik & Apotek,Banda Aceh,Aceh,4,KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,07","0,2",234081,"46816,2",3
TRX3061818,09/04/2020,73978,Kimia Farma - Klinik & Apotek,Padang,Sumatera Barat,"4,8",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,06","0,2",236598,"47319,6",3
TRX6917188,07/03/2023,99984,Kimia Farma - Klinik & Apotek,Batam,Kepulauan Riau,"4,4",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,14","0,2",216462,"43292,4",3
TRX7858984,29/10/2021,23824,Kimia Farma - Klinik & Apotek,Pekanbaru,Riau,"4,9",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,06","0,2",236598,"47319,6",3
TRX4287737,16/11/2020,26315,Kimia Farma - Klinik & Apotek,Pematangsiantar,Sumatera Utara,"4,6",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,05","0,2",239115,47823,3
TRX5341035,14/05/2022,73855,Kimia Farma - Apotek,Pariaman,Sumatera Barat,4,KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,03","0,2",244149,"48829,8",3
TRX2705677,30/06/2023,52767,Kimia Farma - Klinik-Apotek-Laboratorium,Bandung,Jawa Barat,"4,3",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,01","0,2",249183,"49836,6",3
TRX9698518,27/08/2023,52192,Kimia Farma - Apotek,Karawang,Jawa Barat,"4,2",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,04","0,2",241632,"48326,4",3
TRX8020789,27/11/2022,66608,Kimia Farma - Klinik-Apotek-Laboratorium,Jakarta,DKI Jakarta,4,KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,13","0,2",218979,"43795,8",3
TRX4408045,17/02/2023,17543,Kimia Farma - Klinik-Apotek-Laboratorium,Palu,Sulawesi Tengah,"4,4",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,03","0,2",244149,"48829,8",3
TRX5505524,22/03/2021,37838,Kimia Farma - Klinik & Apotek,Lubuklinggau,Sumatera Selatan,"3,9",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,03","0,2",244149,"48829,8",3
TRX9964303,03/03/2023,16527,Kimia Farma - Klinik-Apotek-Laboratorium,Balikpapan,Kalimantan Timur,"4,5",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,15","0,2",213945,42789,3
TRX7314548,30/10/2023,99730,Kimia Farma - Klinik-Apotek-Laboratorium,Payakumbuh,Sumatera Barat,"4,7",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,0,"0,2",251700,50340,3
TRX8648525,19/08/2020,30291,Kimia Farma - Apotek,Manado,Sulawesi Utara,"4,9",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,15","0,2",213945,42789,3
TRX3518177,25/11/2021,94478,Kimia Farma - Klinik & Apotek,Padang Sidempuan,Sumatera Utara,"4,5",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,07","0,2",234081,"46816,2",3
TRX2615193,08/12/2022,86997,Kimia Farma - Klinik-Apotek-Laboratorium,Pariaman,Sumatera Barat,"4,3",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,14","0,2",216462,"43292,4",3
TRX4965812,18/07/2023,99064,Kimia Farma - Klinik-Apotek-Laboratorium,Bima,Nusa Tenggara Barat,"4,3",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,01","0,2",249183,"49836,6",3
TRX7181035,01/01/2021,90897,Kimia Farma - Klinik & Apotek,Banjarmasin,Kalimantan Selatan,4,KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,04","0,2",241632,"48326,4",3
TRX8061688,04/06/2023,37402,Kimia Farma - Apotek,Bekasi,Jawa Barat,"3,9",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,08","0,2",231564,"46312,8",3
TRX2060334,13/04/2023,17567,Kimia Farma - Apotek,Kendari,Sulawesi Tenggara,"4,9",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,09","0,2",229047,"45809,4",3
TRX4328671,08/11/2021,13483,Kimia Farma - Klinik & Apotek,Madiun,Jawa Timur,"4,2",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,1","0,2",226530,45306,3
TRX7745648,16/09/2022,98345,Kimia Farma - Apotek,Makassar,Sulawesi Selatan,"4,7",KF116,"Psycholeptics drugs, Hypnotics and sedatives drugs",251700,"0,02","0,2",246666,"49333,2",3
TRX2573282,07/12/2020,69823,Kimia Farma - Klinik-Apotek-Laboratorium,Denpasar,Bali,"4,5",KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,"0,06","0,1",6016,"601,6",3
TRX5185611,07/09/2022,55402,Kimia Farma - Klinik-Apotek-Laboratorium,Purwakarta,Jawa Barat,"4,9",KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,"0,11","0,1",5696,"569,6",3
TRX9301167,18/10/2022,93763,Kimia Farma - Klinik-Apotek-Laboratorium,Banjarmasin,Kalimantan Selatan,"4,8",KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,"0,11","0,1",5696,"569,6",3
TRX7040548,12/09/2023,81451,Kimia Farma - Apotek,Probolinggo,Jawa Timur,"4,1",KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,"0,03","0,1",6208,"620,8",3
TRX3664112,28/01/2023,84834,Kimia Farma - Klinik-Apotek-Laboratorium,Ternate,Maluku Utara,"4,2",KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,"0,05","0,1",6080,608,3
TRX7107036,03/10/2022,56257,Kimia Farma - Klinik-Apotek-Laboratorium,Subang,Jawa Barat,"3,9",KF132,"Psycholeptics drugs, Hypnotics and sedatives drugs",6400,"0,14","0,1",5504,"550,4",3
